ID,ADDRESS_OR_INTERSECTION,POSTAL_CODE,GC_LONGITUDE,GC_LATITUDE
304488,255 Broadview Ave,M4M 2G6,-79.35118605,43.66296044
304497,1967 Queen St E,M4L 1H9,-79.30146094,43.66956505
304516,685 Kennedy Rd,M1K 2B8,-79.26554078,43.72725021
304523,499 College St,M6G 1A5,-79.40969253,43.65577762
304535,1920 Yonge St,M4S 3E2,-79.39728018,43.69877947
304585,403 Parliament St,M5A 3A1,-79.36687793,43.66216542
304601,524 Queen St W,M5V 2B5,-79.40233593,43.6478024
304605,2688 Danforth Ave,M4C 1L7,-79.29883558,43.68904931
304613,795 Broadview Ave,M4K 2P8,-79.35832244,43.67770978
304700,743 Broadview Ave,M4K 2P6,-79.35809677,43.6757904
304713,1488 Queen St W,M6K 1M4,-79.4377157,43.6406585
304727,209 Ellesmere Rd,M1R 4E2,-79.30296244,43.76046396
304774,1351 Yonge St,M4T 1X9,-79.39300402,43.686104
304775,1670 Dufferin St,M6H 3M2,-79.44324906,43.67741415
304790,343 College St,M5T 1S5,-79.40323399,43.65712503
304795,69 Yonge St,M5E 1K3,-79.37753645,43.64892786
